"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"126","TAC1",",79.1528619518289,-0.152661397832439,0.689525739588291,-0.221400578785632,0.824780541805275,0.914905196992145"
"127","ZNF263",",1287.48801818151,0.41903717617183,0.098438604251908,4.25683784686238,2.07338622196534e-05,0.00276262145922139"
"128","CX3CL1",",1023.00520881184,-1.01184714515039,0.349566862940941,-2.89457397831597,0.00379673432922841,0.0491302473289956"
"129","SPATA20",",2187.57133798043,-0.694412735820453,0.210612499473593,-3.29711074867862,0.00097684974388826,0.0236551664121655"
"130","CACNA1G",",8.68247089361321,-0.489568890903187,0.425971403701788,-1.14929989818265,0.250432340072714,0.48340382902175"
"131","TNFRSF12A",",2163.15408280618,0.13497802536157,0.223458170715986,0.604041574891106,0.545816001604979,0.74221376332005"
"132","DLX6",",36.5633766091859,-0.405508435947256,0.754155719245838,-0.537698548985039,0.590785181166776,0.772955654916702"
"133","MAP3K9",",498.733507327856,-0.205493238343523,0.192064889731209,-1.06991568646985,0.284657261619054,0.519999636486367"
"134","RALA",",3412.86107205105,0.462316224262566,0.1189919313362,3.88527372462203,0.000102214656974789,0.00766741308618085"
"135","BAIAP2L1",",4252.34263014641,0.100892339726697,0.169483089439853,0.595294433563544,0.551646676112686,0.74620958799197"
"136","KDM7A",",2302.11896961874,0.278505408969601,0.174755439517907,1.59368663852699,0.111006238378301,0.306913074627518"
"137","ETV1",",305.347009556725,-0.774105369196831,0.323365756950724,-2.39390025863126,0.0166702813678174,0.109385867444828"
"138","AGK",",1073.32660260532,0.273685733713598,0.141496870593599,1.93421757361451,0.0530863825819558,0.205085120305962"
"139","ALDH3B1",",1371.07750187757,-0.0356766431287008,0.248504900865971,-0.143565149034798,0.885843862542048,0.946569646586237"
"140","TTC22",",1069.94661524874,-0.403742517832913,0.201487268854891,-2.00381155656879,0.0450902504199989,0.187988785148674"
"141","PHTF2",",636.312272116796,0.0433642845405066,0.178439034110105,0.243020170764591,0.807989771767547,0.906702459277401"
"142","CCL26",",33.1873764503499,-0.554615305082983,0.460102309514707,-1.20541734656356,0.228042228257845,0.458599050348995"
"143","FARP2",",2358.98929763991,-0.097850667870523,0.111401719961025,-0.878358681578316,0.379749099641441,0.608516005588033"
"144","USH1C",",5745.51098349557,-0.0118149434172764,0.191737793007007,-0.061620316120175,0.950865197761307,0.97802296056207"
"145","GGCT",",2183.36097957038,0.838300899951558,0.179087468611448,4.68095789421399,2.8553758647661e-06,0.000841569860285419"
"146","DBF4",",796.849133722562,0.344309521795479,0.185617226219188,1.85494379378829,0.0636042532938537,0.225947227935633"
"147","TBXA2R",",63.8535089212293,-0.570024662171865,0.24972350442386,-2.28262318954307,0.0224525737844688,0.129184029804464"
"148","IFRD1",",1590.1355224352,0.391716420089353,0.174797473178347,2.24097301274877,0.0250278231666707,0.136711321603042"
"149","LGALS14",",2.0520544923079,-2.66045143599076,1.27066931160159,-2.09374021368113,0.0362831285673622,0.167087499716864"
"150","COX10",",794.340873632422,-0.479467358616637,0.119005099681374,-4.02896480823402,5.6023003188224e-05,0.00511914408110892"
"151","GTF2IRD1",",2724.94731396149,0.332882671225057,0.167118898420067,1.99189124851894,0.0463829913925001,0.190658993437399"
"152","PAF1",",1967.49301152039,-0.175863295290354,0.145090314770298,-1.21209534605239,0.225475885031,0.455762422083996"
"153","VPS41",",1925.26088203187,0.14030331671478,0.12293705894759,1.14126137322509,0.253761171176869,0.487282901746581"
"154","ARHGAP44",",637.111697717762,-0.988755559417055,0.303775549040275,-3.25488856012557,0.00113436867796158,0.025880279924096"
"155","ELAC2",",2706.90533764551,-0.63471529105796,0.132819772256087,-4.77877111424479,1.76369828655869e-06,0.00061267519049741"
"156","SCIN",",505.930310593685,0.111480794882998,0.388577775825522,0.286894418102427,0.774193164626615,0.887861170698543"
"157","ARSD",",3396.67355799613,0.155552524101924,0.22940508037207,0.678069220828217,0.497727805038363,0.707489456277343"
"158","PNPLA4",",871.834826205025,-0.354180511471449,0.258731607159463,-1.36891087780071,0.171027135066863,0.391509516062686"
"159","MYH13",",4.01333555493793,-1.08088941290668,0.54060349600765,-1.9994125470683,0.0455637354750994,0.188829683448857"
"160","ADIPOR2",",4165.42838094581,0.189151752899235,0.163083144851871,1.15984857338288,0.246110463770871,0.479310106976842"
"161","CDKL3",",16.7718037983743,0.47012787057225,0.185473424170424,2.534745194224,0.0112529144745552,0.0894957875081822"
"162","UPP2",",2.10660044133551,1.59354257515048,0.418209197023138,3.8103958174366,0.000138744472812722,0.00878213387565123"
"163","PRSS21",",112.760343481987,-3.08938537796035,0.825873948268643,-3.74074685905388,0.000183474241275766,0.00982328312474067"
"164","MARK4",",839.724772730442,-0.0542114328532425,0.143488096642302,-0.377811359421576,0.705570734518668,0.847684207561542"
"165","PROM1",",3915.84744219172,-0.549758734733453,0.416244496808501,-1.32075916666443,0.186581678893738,0.410840129046127"
"166","CCDC124",",2374.18869145104,-0.0350885646177281,0.186071267527062,-0.188575942347599,0.850425189716045,0.929068028300793"
"167","CEACAM21",",38.003093860179,-0.886757679331036,0.307222222899111,-2.8863721867615,0.00389710999782148,0.0498980560493333"
"168","PAFAH1B1",",3337.38739981479,-0.581558027808334,0.109249289485462,-5.32322022914138,1.01946196273505e-07,8.74938237429666e-05"
"169","NOS2",",2338.89498338832,-0.801001731881206,0.509751877306965,-1.57135611959474,0.116099952477564,0.315231842681243"
"170","DNAH9",",15.9231092267605,-0.913425156658596,0.440485405302118,-2.07367859562135,0.038109170389028,0.171397286059161"
"171","KIAA0100",",5709.30924900828,-0.157492444040023,0.127974950234887,-1.23065055896454,0.21845358695201,0.447049278859643"
"172","SLC13A2",",304.936578785449,-0.923496826034154,0.623582540884483,-1.48095362760522,0.138618931035303,0.349179938502256"
"173","GAS7",",623.307233084064,-0.38811808880286,0.320450244539306,-1.21116490131202,0.225832211576556,0.456261436945503"
"174","TRAPPC6A",",1093.05550138815,0.0181606086578121,0.219113752978461,0.0828821030672472,0.933945284755703,0.969150903597845"
"175","MATK",",91.6222000608507,-0.964177872268504,0.399961234811848,-2.41067830666659,0.0159228859741814,0.107043432686301"
"176","CEACAM7",",5634.00343891436,-1.48496614375896,0.575377118881025,-2.5808571370493,0.00985553573584871,0.0832897861851372"
"177","CD79B",",107.333547635755,-0.828952036173337,0.404191780568447,-2.05088791020816,0.040277863769298,0.176796585232883"
"178","SCN4A",",8.65722687856062,-1.18512847348018,0.499618279409661,-2.37206788126429,0.017688840580757,0.112918581490119"
"179","ST7L",",315.638924814224,0.0327308780668539,0.120548944985711,0.271515259388904,0.785994765060388,0.895002233843055"
"180","TKTL1",",8.32138158393949,-2.62478966965878,0.85115600584346,-3.08379386579987,0.00204379151575103,0.0353709878073219"
"181","PAX6",",94.697455780196,0.330591480317503,0.26398054792823,1.2523327302411,0.210448647194199,0.438541135837087"
"182","RPUSD1",",1593.26705875806,0.0945542657849626,0.200500864074602,0.471590315689519,0.637219240485394,0.804693704823811"
"183","RHBDF1",",1817.22450529161,0.112990868957892,0.204672813218488,0.552056070276779,0.58090993830834,0.766265126981719"
"184","LUC7L",",1262.83146451849,0.245734020007904,0.168045156082298,1.4623094514403,0.143656429707235,0.355727649258071"
"185","CACNA2D2",",265.986876115942,-0.121657021890821,0.453590061922385,-0.268209187333645,0.788538303529797,0.896429316541978"
"186","BAIAP3",",225.513450395288,0.377007796676442,0.371231819531949,1.01555894953125,0.309839461418591,0.546131927478742"
"187","TSR3",",1561.18634585143,0.1382245545048,0.15049986010154,0.918436431844802,0.358390424733593,0.589838273757826"
"188","PIGQ",",1678.37873083332,-0.0594546016439125,0.191034398685802,-0.311224586006097,0.755629893579314,0.878107538615866"
"189","CRAMP1",",638.059064724138,0.304370456168021,0.127014425473401,2.39634557282442,0.0165594697265079,0.10914961071143"
"190","TEAD3",",1599.90889087601,0.105747298573415,0.131389384230673,0.804838984462864,0.420912601915844,0.644190319039476"
"191","SELE",",150.41869241722,-0.0952403565740338,0.458265326204331,-0.207827978963366,0.835363285512687,0.920575901847243"
"192","DNAJC11",",1487.53845087768,0.173654732900153,0.134456454512802,1.29153139973372,0.196519474288576,0.422644329285131"
"193","FMO3",",39.7196346624995,-0.626588173796223,0.335184397232848,-1.8693834765851,0.061569481749597,0.222263252979101"
"194","MYLIP",",1095.15942064554,0.10803296950487,0.150691416856566,0.716915214936894,0.473426413270208,0.688903542573414"
"195","NOX1",",6708.98107879071,0.385832181873426,0.380040864208837,1.01523867091673,0.309992070947859,0.546169328180784"
"196","E2F2",",573.642830254482,0.0748339688879317,0.219158759447947,0.341460086178785,0.732757247787004,0.86351209775026"
"197","PSMB1",",6834.32556461083,0.0971093953964343,0.150276320946829,0.646205568412829,0.51814623379323,0.722833441797889"
"198","SYN1",",83.2646010547257,0.246451611426216,0.370790067518328,0.664666162919895,0.506264040773922,0.713616964214297"
"199","JARID2",",926.969276171156,-0.082419502422159,0.151510520072996,-0.543985344268176,0.586451558119737,0.76993865139629"
"200","CDKL5",",301.489985965987,-0.442799412915452,0.244620664505166,-1.81014720817301,0.0702729617863326,0.238592326364983"
"201","CAMK1G",",12.3565526114017,-0.749771678659506,0.341586440015092,-2.19496909369816,0.0281658148196096,0.145826557210115"
"202","CDK11A",",304.305053287312,0.410742678007035,0.226865556140651,1.81051141034554,0.0702165165054763,0.238440352802258"
"203","NADK",",2799.15145488318,0.0224895643123252,0.127163119789016,0.176856028301595,0.859621478409407,0.933578057194061"
"204","DLEC1",",43.0109140424752,-0.105168553427593,0.337619787360256,-0.311499969388268,0.755420566154019,0.878004147230713"
"205","CYTH3",",952.620590944614,0.165086616182538,0.165143875175892,0.999653278129184,0.317478330036255,0.552440309645038"
"206","ADAM22",",201.868643222501,-0.283423209988617,0.270286545969658,-1.04860273000948,0.294360998860299,0.530646900093073"
"207","SYPL1",",5528.75773684943,0.0879286554800336,0.145017099954995,0.606333015260417,0.544293639295002,0.741112046240619"
