"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"15631","ZSCAN16",",250.164285066058,0.202031332275102,0.153834550227511,1.31330271370321,0.18908096448399,0.414031408047638"
"15632","MVB12B",",820.858658574442,0.0580519543159291,0.175470431477245,0.330836106272739,0.740768286309756,0.868341244306379"
"15633","C6orf106",",4207.98082535369,0.134654875686212,0.113348636341522,1.18797084845814,0.234844894925732,0.466428943229843"
"15634","POTEI",",1.18421107818367,-1.65270481310277,0.600703785860527,-2.75128083425547,0.0059362727610041,0.063866530532129"
"15635","ADA",",458.00346476889,-0.332014482955379,0.294220915410785,-1.12845302820103,0.259128643507483,0.493068081175097"
"15636","ARID5A",",1020.85697168635,0.00221132396507715,0.204226637652634,0.0108277940159714,0.991360839138253,0.996243044600139"
"15637","PPTC7",",1426.13061009792,-0.00553641781654979,0.134867420971456,-0.0410508169925008,0.967255383876669,0.985160841545938"
"15638","KRT39",",7.0269760791776,-0.827603923900884,0.794966139386193,-1.04105556563691,0.297849760365836,0.534063100422238"
"15639","TOMM20L",",6.44526084279413,0.222641053876667,0.228695791385311,0.973524928150323,0.330292476982156,0.564910291210323"
"15640","NHLRC2",",1137.24653021262,0.019984230937291,0.157804177416518,0.126639429097897,0.899225788255949,0.953397591065642"
"15641","HIST1H2AD",",12.6196207783427,-0.404884780724732,0.353539131043467,-1.14523328585925,0.252112533376461,0.48539480891562"
"15642","ZFP28",",91.0628864066349,0.403743094131856,0.402701884540177,1.00258555927263,0.316060866162685,0.551144705554198"
"15643","KIAA1211L",",516.357279358068,0.165761870653433,0.163087616202355,1.01639765491305,0.309440061912718,0.545685683605071"
"15644","CBWD3",",25.2285862492394,0.672051381342937,0.239935187146318,2.80097050097576,0.00509491761235867,0.058701808121868"
"15645","SCN8A",",147.023614668876,-0.236328516220117,0.35702994084704,-0.661929124653906,0.508016645333732,0.71485391864003"
"15646","LAMB3",",7397.27763234652,-0.615352768332062,0.249747100484528,-2.46390355338754,0.0137433086885725,0.0994124312177853"
"15647","HIST3H2BB",",16.4529120160104,0.577390359595382,0.354814873710484,1.62730032582149,0.103673328751872,0.294795140613879"
"15648","TEX43",",16.0580838637336,0.21365920254586,0.509356806685655,0.419468631304102,0.674873675297291,0.828020596441784"
"15649","KPNA5",",189.1193444053,-0.299356420409497,0.222257146958551,-1.34689221249351,0.178014949994847,0.399957291600044"
"15650","ANKRD36B",",48.6956857977614,0.122203135521902,0.252371824547982,0.484218615690472,0.628230726770906,0.799292461616527"
"15651","ARHGEF12",",4430.35888153512,0.00177101771170983,0.134495543318452,0.013167854250133,0.989493876009444,0.995189442731037"
"15652","HCAR1",",81.0305905871718,-2.53551854248308,0.636415872154285,-3.98405925028281,6.77479693203644e-05,0.00574676088595416"
"15653","ZNF252P",",981.683929387044,-0.102942305885304,0.151582605969599,-0.679116876417538,0.497063810094631,0.707079509509157"
"15654","PDLIM7",",1912.74245874025,-0.383519592157913,0.257995070765146,-1.48653844827536,0.137136754885876,0.347094328005018"
"15655","FLNA",",25522.7785833369,-0.703235288772439,0.336931012498183,-2.08717886655279,0.0368719690760918,0.168377575636452"
"15656","TMEM26",",51.4860815258877,-0.324234512294157,0.262703102895257,-1.23422414398902,0.217119393022657,0.445694258768986"
"15657","RPS26P11",",3.61303866836894,0.361405650632913,0.414619701843287,0.871655758339996,0.38339620254216,0.611945412272051"
"15658","SRGAP1",",548.99350420447,-0.278163352083282,0.166797498900113,-1.66767100176881,0.0953810549570322,0.282120142020469"
"15659","FAM3C",",994.087979389902,0.252071118964798,0.21492126919449,1.17285329604438,0.240854641277225,0.473538520521669"
"15660","NOP9",",1729.22997132674,-0.121986981114471,0.13306244413103,-0.916764921245151,0.359265838084111,0.590611681872988"
"15661","SLC39A10",",1424.3927941363,-0.0490451794465636,0.185017942531979,-0.265083368539171,0.790945239154764,0.897731614552726"
"15662","SCOC-AS1",",12.193554715557,0.333507299050586,0.264611538250453,1.26036567133714,0.207537479501211,0.435272310202353"
"15663","CASP4",",1479.47990037227,-0.426913181381983,0.20087281182106,-2.12529101132055,0.0335623378458199,0.16012900888506"
"15664","AP2A1",",4431.62848261366,-0.295189058907518,0.171134770142244,-1.72489236793997,0.0845468712447127,0.263915030265374"
"15665","ZNF585A",",185.197681226859,0.179944414526978,0.164833905445122,1.09167112215809,0.274977682566884,0.50974872146197"
"15666","FUT11",",454.062617251022,-0.62939205234068,0.166153231141419,-3.78802174364567,0.000151851562782966,0.00916367846977722"
"15667","SMIM10L2B",",17.518418938659,-0.449174566490966,0.31287013494372,-1.43565817354783,0.151099632530543,0.365172045489584"
"15668","ANXA4",",10981.9732387382,-0.17736034980906,0.152467819075281,-1.16326416213436,0.244722341292444,0.477624642615535"
"15669","LAGE3",",935.322324511729,0.054880904358622,0.22123102612301,0.248070559181454,0.804079814127876,0.904721561511969"
"15670","GPRACR",",1.71280282697031,-0.548578107414958,0.78980943248773,-0.694570215104997,0.487324683522852,0.699544181552965"
"15671","WDR5B",",311.653739359433,0.256278220126802,0.153460882114486,1.66999053176047,0.0949212369208097,0.281423450642831"
"15672","FAM163B",",7.88781009703362,-1.5667327677986,0.562368977323216,-2.78595162780136,0.0053370835369868,0.0604330995767462"
"15673","WDR45",",1237.65744319057,0.149874253734307,0.141424372965182,1.0597484053983,0.289259074853842,0.524683272470635"
"15674","METTL9",",3235.09011018959,0.101249913053661,0.146232339841331,0.692390706211239,0.488692000683879,0.70039452750273"
"15675","ZNF138",",271.341018765171,0.510829365647519,0.178070537607594,2.86869109573426,0.00412174128751471,0.0515085270962224"
"15676","ZNF429",",135.439554089265,-0.0973389903327804,0.217066379529349,-0.448429602704179,0.653843181439006,0.814967003326049"
"15677","ZNF470",",194.63390357299,0.613667577688283,0.331334344766542,1.8521097718399,0.0640100615854939,0.226679273885171"
"15678","SERTAD1",",762.282573162904,-0.425032069852005,0.202111173319995,-2.10296176539962,0.0354691118777497,0.165254460257502"
"15679","ZNF100",",249.270578881213,0.381779084517157,0.18135233147755,2.10517880529382,0.03527574647633,0.164616389281834"
"15680","CXorf40B",",538.694126228035,0.171803441524956,0.14180653275576,1.21153403997868,0.22569079680084,0.456102046585533"
"15681","ZNF398",",698.70090692875,-0.0452843204525742,0.0962309104895361,-0.470579777560125,0.637940851565106,0.805162265832077"
"15682","ZSCAN25",",634.143586277659,0.101575063726064,0.107597212133568,0.94403062785653,0.345153997255489,0.57804734158923"
"15683","ANXA6",",4112.30914424221,0.00713190152778573,0.242011568920051,0.0294692586788765,0.976490336308838,0.98951201602625"
"15684","ZNF441",",168.535576461946,0.267902655481782,0.176753596530151,1.5156843240589,0.129599193322495,0.33570390245454"
"15685","GMFB",",2345.25547429051,-0.272335058121711,0.198933007233849,-1.36897874268586,0.17100591977054,0.391509516062686"
"15686","SIGLEC15",",88.2682569293731,0.933113270615797,0.498709034056002,1.87105748421436,0.0613371137256589,0.221896476384171"
"15687","ZNF420",",205.389145586591,-0.123290287562359,0.199001954431357,-0.61954309903467,0.535558638476783,0.735105182311141"
"15688","ZNF763",",57.8026217436997,0.271276080706649,0.203975559957967,1.32994404213206,0.183536708953121,0.40689873630543"
"15689","ZMYM1",",361.493842522934,0.0723188978631183,0.175112447187055,0.412985478901266,0.679617252773019,0.831540530970071"
"15690","DTHD1",",8.93231099282018,-1.0221806534099,0.578601567719913,-1.76663996511103,0.0772885434430035,0.250985221167886"
"15691","HIST1H4C",",4.19950703859422,-0.312356410962581,0.462216841188271,-0.675778948598179,0.499181002259261,0.708605839945769"
"15692","ZSCAN26",",285.170988722546,-0.0293672248197168,0.140219418212459,-0.209437645613533,0.83410660739259,0.919774615588628"
"15693","MAFG",",1710.79098317068,0.242120616248836,0.144706550935404,1.67318351991484,0.0942911736149117,0.280299148948973"
"15694","ARRDC1",",3492.19262558444,0.0623825402322369,0.188355802706195,0.331195213186735,0.740497035710578,0.868232551212869"
"15695","KIAA1671",",2822.18006148873,-0.144995973496069,0.15733075923449,-0.92159965541108,0.35673743830841,0.588179367716092"
"15696","KRT35",",3.01246763691445,-1.97807316190608,1.23760349309019,-1.59830929126339,0.109974160633172,0.305245506256631"
"15697","IGF2R",",7491.90668811953,0.18973240826212,0.158273992722724,1.19875922126074,0.230621583101464,0.461240925494749"
"15698","ZNF300P1",",10.768374443244,-1.05172005497936,0.4035702524292,-2.6060395895108,0.00915958739861122,0.0800229821231962"
"15699","NPSR1-AS1",",27.0989151216084,1.30486279056732,0.61867517888874,2.10912419811492,0.0349338626618048,0.163912222619628"
"15700","GAL3ST4",",385.264078384215,-0.377704377706952,0.240101024613186,-1.57310606364738,0.115694261135633,0.314628117102179"
"15701","AC068631.1",",8.95169049804683,0.316948079527596,0.325292611583672,0.974347612706445,0.329883971408549,0.564542506932231"
"15702","DYNC1H1",",12303.8540546285,-0.392154579441842,0.168329359401581,-2.32968616310292,0.0198227443965691,0.120030645671693"
"15703","SLC6A17",",12.6459880089927,-0.573635336997953,0.498431131638193,-1.15088183820418,0.249780850485927,0.482653483128417"
"15704","PCBP2",",9498.51010603391,0.169230756179897,0.118584826330915,1.42708609032029,0.153555081330904,0.368214732664937"
"15705","ZGPAT",",379.184340362899,0.193395319715194,0.213262606728783,0.906841207099868,0.364490775409176,0.595045363457523"
"15706","SLC25A29",",1024.22669311655,-0.210682365425891,0.227852546773199,-0.924643452133985,0.355151402743988,0.586857575857612"
"15707","PGAP1",",726.343395912287,0.303585311894294,0.284702659909479,1.06632411509896,0.286277151992681,0.521739260205261"
"15708","SRC",",4978.90857744227,-0.00804712335299382,0.158759232996207,-0.0506875927851457,0.95957446346398,0.9818995495604"
"15709","ZNF682",",59.7086145648594,0.756279006010741,0.394554458292817,1.91679244807689,0.0552643047511579,0.209348619062546"
"15710","ZNF772",",57.1701787651181,-1.04255545773756,0.405535869996885,-2.57080947671921,0.0101461127997291,0.0844930283950044"
"15711","ZNF257",",15.7508203275375,-1.74579666128059,0.56799784672942,-3.07359732318182,0.00211494690572304,0.0360612817409883"
"15712","PCNX3",",3243.29096794322,-0.16311476766973,0.15726782595385,-1.03717824469447,0.299652795016565,0.53559518569847"
"15713","ADAM32",",97.1740234086332,0.189331111367165,0.397673727755057,0.476096604208617,0.634005556143897,0.8024064073681"
"15714","ACSL5",",12223.2761943136,0.24891353759308,0.18375294489589,1.35460978725597,0.175541913547623,0.396617347063076"
"15715","LRRC8B",",861.214147094035,-0.0486635270467466,0.15993655905639,-0.304267687974886,0.760923960100696,0.880505384262717"
"15716","AC107956.1",",175.709910302944,0.267316183843279,0.420035119341778,0.636413889062848,0.524506690541325,0.72701430885407"
"15717","ABCB8",",1656.6196267613,0.00695028597710157,0.160903561808341,0.0431953519175689,0.965545810264747,0.984444588356581"
"15718","HIST1H3J",",4.80646760075843,-0.351435712449969,0.464967230488567,-0.755828990530572,0.449751732756955,0.669306179204812"
"15719","SND1",",13089.0511888639,-0.0393523327434374,0.135834545542885,-0.289707839682162,0.772039758225076,0.886410393271993"
"15720","ZNF785",",348.822229105788,0.293762798171171,0.187207766983182,1.56918061096024,0.116605860732268,0.315891171593066"
"15721","SULT1A2",",51.0692284894183,-0.787506268619389,0.390250425402056,-2.01795108309763,0.0435963561186752,0.184555588501805"
"15722","NEK5",",109.366574934928,0.350117005062852,0.315584788385181,1.10942294416144,0.267247768907355,0.501125598225954"
"15723","PSMD12",",2243.0718912584,-0.0392165915629162,0.131783961187581,-0.29758243119658,0.766021885278048,0.883114796428961"
"15724","MAGEA6",",67.9831107699542,-8.9224515207828,1.76105178663312,-5.06654692866316,4.05096916112043e-07,0.000244333522335766"
"15725","AC244090.1",",93.5001387124561,0.407453621389758,0.216885683744023,1.87865613975079,0.0602914602829876,0.219830664882866"
"15726","PIWIL2",",221.394349252338,-0.471190095309682,0.366210937496249,-1.28666308693881,0.198211744381548,0.42459790170185"
"15727","MIRLET7BHG",",77.926469650534,-0.298873218777639,0.282386705803797,-1.05838275186119,0.289880979688252,0.525549983678359"
"15728","NOL4L",",3070.43187270279,0.083773783122121,0.196801462496469,0.4256766289205,0.67034349421205,0.82511118324055"
"15729","CYSRT1",",50.365765940094,-0.091076750228158,0.341525404288631,-0.26667635579808,0.789718360173283,0.897214823174512"
"15730","SLC22A4",",87.0134484780769,-0.476533749203231,0.246491271697717,-1.93326824889615,0.053203161065345,0.205217216111932"
"15731","ZSCAN5B",",1.1673814360176,0.0248518316660049,0.510879479517174,0.0486451945368642,0.961202052544073,0.982512311313148"
"15732","ENTPD4",",1506.98944826323,-0.217282588481834,0.174105120306058,-1.24799654427093,0.212032322725814,0.440138442112988"
"15733","C1D",",431.223896072719,-0.0380907862398091,0.178430167325399,-0.213477276913292,0.830954711021615,0.918039469468829"
"15734","TBC1D9B",",5538.50198902633,-0.00503900809445363,0.125314425856525,-0.0402109179371168,0.967924973415988,0.985387464966136"
"15735","HIST1H4J",",3.33670321663706,-0.425731328262507,0.377991983160885,-1.12629724234469,0.260039724642321,0.493984941187258"
"15736","SLC2A7",",1.15902691069035,-0.242636880975301,0.617189957559925,-0.3931316088398,0.694222279271063,0.840207636214418"
"15737","FAM110D",",33.5389386716954,-0.664690128563053,0.29497823998207,-2.2533530900566,0.024236894794591,0.134634035809283"
"15738","SERPINA1",",14430.7462163966,-1.90451445925306,0.467234053006414,-4.07614652014013,4.57881734785208e-05,0.00449905798721042"
"15739","LINC00336",",8.08996072972544,0.315107015486161,0.422203626106781,0.746338960638074,0.455462681731496,0.674426687083846"
"15740","TPSB2",",226.46355541277,-0.146364638275483,0.448991350584423,-0.325985429529922,0.744435379075784,0.870716063870105"
"15741","KANK2",",1955.7984967431,-0.464440913355852,0.230572197385646,-2.01429712091023,0.0439783480719182,0.185476937906883"
"15742","EIF4BP6",",84.38377837429,0.148964280959542,0.299607339884429,0.497198369762917,0.61904917094737,0.793841125389771"
"15743","C6orf141",",202.363831715526,0.389498427948955,0.352978534111891,1.10346208142359,0.269826549600119,0.503680828897868"
"15744","GTF2E2",",1302.61737743256,-0.214051665195195,0.177359251936909,-1.20688186749535,0.227477641698628,0.457873876303094"
"15745","IL27",",6.57962747558593,-0.461838896424818,0.365972910405952,-1.26194831172757,0.206967386165231,0.434607680505285"
"15746","GUCA2A",",554.770404238825,-2.24582609482897,0.577437836326245,-3.88929500899575,0.000100535847481366,0.00758045485660532"
"15747","RAD54B",",143.882027704226,0.45633958997053,0.219460490447502,2.07937013646514,0.0375833431661117,0.170120893688477"
"15748","ZNF165",",185.8669113093,0.212572677333397,0.202972458998738,1.04729813286993,0.294962096971447,0.53121875228251"
"15749","SYNGAP1",",512.664226824378,-0.0357840409648257,0.183091940020486,-0.195443016010546,0.845046143949869,0.92603449303204"
"15750","RAMP2-AS1",",32.5084271876722,0.558057537869101,0.410557900813284,1.35926634650955,0.174062204074483,0.394670819276934"
"15751","FITM2",",1331.60565697965,-0.256250627807464,0.245182304309407,-1.04514323955488,0.29595677221855,0.532134981412119"
"15752","BLM",",460.861408889666,0.15451645454562,0.186725638487487,0.8275052949195,0.407950722192758,0.633023242413437"
"15753","HMGA2-AS1",",21.1418037501052,-0.427487976048652,0.439519841602268,-0.972624977498732,0.330739724039942,0.565207351632851"
"15754","ZNF720",",410.733318877379,0.176698077137076,0.135044575675918,1.30844261054305,0.190723227946389,0.415743287376704"
"15755","DDI2",",1657.55308102723,0.429844551219313,0.146581381440844,2.93246350248641,0.00336284446148375,0.0464400385168462"
"15756","SVIL",",2498.39614280833,-0.226653280268253,0.216193726092912,-1.04838047044365,0.294463347727486,0.530661258290177"
"15757","TRIM33",",1324.05052611074,0.0394448940251021,0.149313330851969,0.26417530035686,0.791644842650231,0.898036640692522"
"15758","LRP10",",11491.7044088741,-0.867352245323771,0.186146049023262,-4.65952540961737,3.1693927256492e-06,0.000880789330804225"
"15759","PELI1",",1485.27545947551,-0.0287872126621238,0.149570436940713,-0.192465926094302,0.847377255954077,0.927335295857335"
"15760","AC008543.1",",15.3238943975617,0.40482873380081,0.229259409208957,1.76581076954548,0.0774276011098733,0.251149110758793"
"15761","ZNF655",",1146.1807101069,-0.763956040062229,0.292516682547714,-2.61166656687219,0.00901020838201415,0.0794073937140359"
"15762","MRPL21",",1444.0350591816,-0.00661479923519372,0.150338580412675,-0.0439993461228401,0.964904925082619,0.984001454895291"
"15763","LYPD2",",1.60142809593946,-1.99140954780218,1.29121086495671,-1.54228066216662,0.123005406048823,0.325530359922424"
"15764","UAP1L1",",701.598779804077,-0.217943786204317,0.254488603902804,-0.85639900122033,0.391777116957821,0.618881947533852"
"15765","BNIP3P1",",3.0066910598088,-0.578096508236032,0.669790197140222,-0.863100879505716,0.388082004432075,0.615480889685741"
"15766","FBXL22",",54.8827748898302,-0.42641447490407,0.270584997161161,-1.57589843996449,0.115049210578884,0.313516619788181"
"15767","ZNF786",",306.651420500369,0.0579010301825776,0.138978329712994,0.416619125457543,0.676957017886956,0.829504851047228"
"15768","ZNF517",",390.830426079857,-0.12754488229966,0.204132304041067,-0.624814788128783,0.532092623746725,0.732795108595876"
"15769","ZNF675",",260.167379576681,0.160957114753586,0.221553813517386,0.726492188052339,0.46753709478886,0.684532484994427"
"15770","SLC22A5",",777.347054576283,-0.143061908624502,0.146755077151397,-0.974834475245548,0.329642373063028,0.564261421128594"
"15771","DACT3",",141.550738996881,-0.638541069757344,0.36500718490416,-1.74939315215125,0.0802230837540414,0.25612116998904"
"15772","ADARB1",",435.764862660278,-0.192617645399273,0.217906204596753,-0.883947502806184,0.376724552533776,0.605884396544918"
"15773","ZNF860",",66.3602539295302,0.115400080940508,0.215209672012526,0.536221629173764,0.591805386816648,0.773764727453615"
"15774","HTT",",3220.77516802701,-0.151534410197721,0.154701375505167,-0.979528525217669,0.327318901322372,0.561701102128135"
"15775","C5AR1",",422.490307777225,-0.537866906507367,0.334002426874506,-1.61036825852005,0.107317485781008,0.301184944652948"
"15776","DIO3",",167.310260306432,-0.00365148167865005,0.489553122529382,-0.00745880581822026,0.994048789177063,0.997590833477747"
"15777","CYP2B6",",1147.89888062203,0.556200207036162,0.475647120574986,1.16935472323221,0.242260743722272,0.474950853387255"
"15778","HIST1H3D",",23.6819238057698,-0.593277553882915,0.345432797547546,-1.71749051652009,0.0858895857266701,0.265972419771223"
"15779","DCHS2",",33.8815177257671,-2.01075807988875,0.680341139978152,-2.95551446433671,0.00312148060068646,0.0441138844723245"
"15780","VEPH1",",26.1018276635596,-1.40629071092483,0.428027495841181,-3.28551489002154,0.00101796161848984,0.0241914408458143"
"15781","SHPK",",172.366187000818,-0.441098564118897,0.179974809826351,-2.45089056932185,0.014250326915221,0.101247757337752"
"15782","IPP",",402.106210388844,-0.12197283949827,0.116555098299213,-1.04648223267891,0.295338443807748,0.531471648348618"
"15783","MAP3K5",",1159.86913104606,0.0837614882322758,0.188419776665394,0.444547221712422,0.656646995953032,0.817063636600122"
"15784","OGDHL",",111.971253891537,-1.57905125142633,0.6099913598507,-2.58864527493113,0.00963542942143218,0.0824437288500537"
"15785","CYP2F1",",8.66483030012962,0.284279244067887,0.428569361174491,0.663321435972048,0.507124710623609,0.714205355276266"
"15786","GSTK1",",7396.21209212564,0.263249569865891,0.165992601309391,1.58591146707331,0.112759394199755,0.30970624272862"
"15787","HNRNPAB",",9868.91965319774,0.320433308496591,0.13295788363658,2.41003616884009,0.0159509391174972,0.107147422524993"
"15788","STMN3",",1329.50810215502,-0.00936834862797475,0.407560507913886,-0.0229863994328768,0.981661121764396,0.991625923189551"
"15789","PDGFA",",1062.96276131553,0.0648805335989999,0.263292301448085,0.246420169682753,0.805356994387242,0.905599888100953"
"15790","GYPE",",3.35262964575308,-0.537638886434991,0.462414065875367,-1.16267848690377,0.244959973212824,0.477898777719476"
"15791","COL13A1",",109.907867607115,0.20762076429161,0.2945014599442,0.704990611357067,0.480816078905187,0.694874606629357"
"15792","SPN",",293.454823424685,0.0311455846615764,0.314105363833724,0.0991564877512365,0.921014022282954,0.964081878348415"
"15793","ZNF695",",62.3984760788914,0.39547314522735,0.274609868189389,1.44012721696733,0.149831410149751,0.36337300497362"
"15794","AC034105.1",",7.20219923532206,-1.61967020144231,0.763554964556566,-2.12122280205844,0.0339030572638601,0.161017081670063"
"15795","PCDHB11",",75.8053389207689,-0.98473471979954,0.480639615369498,-2.04880057388219,0.040481619640461,0.177152618642569"
"15796","ZNF628",",332.098546891047,-0.486547213940071,0.220096379873939,-2.21060979839261,0.0270628696462072,0.142776086833543"
"15797","SLC2A10",",753.340288041004,-0.792337148678305,0.335242714642656,-2.36347313176627,0.0181045394024213,0.114161279411487"
"15798","ZNF665",",57.6155007603817,0.164633822010686,0.343387489509394,0.479440361225455,0.631625386042163,0.800818108394974"
"15799","RPF2",",1351.26404861399,0.475246391986452,0.15620244481019,3.04250290425319,0.00234619553290904,0.0379934284694459"
"15800","SLC28A3",",324.159994292647,0.249833440739416,0.477864640975027,0.522812150799983,0.601104983070886,0.780572444751389"
"15801","FAM177B",",75.208160164905,-2.42551404408989,0.589052692497118,-4.11765207932015,3.8275194771433e-05,0.00413655623492747"
"15802","MIB2",",1540.93414355016,-0.373902142036317,0.262903364280279,-1.42220371755191,0.154967119885381,0.370316510794914"
"15803","MYO5A",",361.634570913616,-0.847471723138631,0.294716209362221,-2.8755517892029,0.00403321975050382,0.0509036991002169"
"15804","C5orf56",",197.626187503895,-0.237683861394785,0.21011172566939,-1.13122606859543,0.257959952451502,0.491721414458768"
"15805","GZMM",",35.8873677723734,-1.13473684901977,0.38994439929749,-2.90999653043889,0.00361432768450626,0.0480954853338301"
"15806","ATG7",",863.421517140176,-0.37038057240932,0.109706018522205,-3.37611898962821,0.000735161173349033,0.0204304790841188"
"15807","PRAMENP",",7.07349693829131,0.176050746587203,0.797477765354807,0.220759442125482,0.825279744930804,0.915089883983535"
"15808","AL359955.1",",1.3557575232851,0.30353809201704,0.583761216706592,0.519969609713904,0.603084756835626,0.782133920198381"
"15809","SIPA1L1",",2230.28464026346,-0.165792138466529,0.14018167966956,-1.18269476337663,0.236930140328705,0.469133575001127"
"15810","TTC30A",",250.496544015163,-0.0867473726130696,0.217720931847789,-0.398433774267124,0.690310466079701,0.838084814843838"
"15811","SSPO",",32.4022569168241,-1.03369284414774,0.510952384049821,-2.02307079175298,0.0430658494105566,0.183481017053591"
"15812","ELANE",",2.48271789881915,-1.23452286687121,0.584073061857837,-2.11364458916219,0.0345456344480052,0.162966582627151"
"15813","RAB40C",",1787.20978242085,0.102726327195879,0.1751269953701,0.586581908624568,0.557484535967724,0.750514360301646"
"15814","PIGN",",933.779928233943,-0.429113344185383,0.15812275436349,-2.71379881986463,0.00665165476163602,0.0675114038067961"
"15815","COL4A6",",36.5388922887679,-0.613275213202079,0.487884831333464,-1.25700815810548,0.208750681491657,0.436595472159222"
"15816","ZNF624",",87.6963194736178,-0.32232711214578,0.182939058708691,-1.76193708670518,0.0780799276872191,0.252199722151102"
"15817","HHLA3",",177.712848345756,0.573586783188511,0.215565745338037,2.66084382882376,0.00779451005003916,0.0737362106834278"
"15818","RPS17P2",",2.66940859169349,-0.553148272487622,0.456617980771572,-1.21140273879039,0.225741090240781,0.456140503651131"
"15819","HOXA4",",34.5143465940672,0.89571332882386,0.28538642229575,3.1385982613273,0.00169758008413961,0.0320202888527433"
"15820","TOPORS",",758.013715972852,0.161761907640402,0.130049113681046,1.2438524420638,0.213553875369749,0.441722075213471"
"15821","BCO2",",27.9097785262334,0.496841002363805,0.280136195928569,1.77356946222863,0.0761343926708153,0.249310018868184"
"15822","GPX1P1",",98.7272564968944,-1.5483676017452,0.508874661168339,-3.04272882872624,0.00234443493448874,0.0379934284694459"
"15823","KCNMB2",",3.78547840334044,-0.0520765404034952,0.493035916355289,-0.105624232791122,0.915880497312576,0.961029400627798"
"15824","ENTPD6",",8618.58033913694,0.372338097591533,0.219869224549808,1.69345254368324,0.0903693606688652,0.273654575255667"
"15825","DMBX1",",31.2623921003339,0.815727909897302,0.574834714879173,1.41906514826399,0.155880023498639,0.371464196463069"
"15826","KLKP1",",1.29492165237278,0.110539609975658,0.738412854780725,0.149698924199367,0.881002156980513,0.944404795587648"
"15827","ENPP1",",320.52414705522,-0.361465598355212,0.280436552054073,-1.2889389621561,0.197419307372817,0.423611691237504"
"15828","CCDC154",",18.384019194284,0.0490591383950464,0.418603006985571,0.117197290932832,0.906703713648804,0.956806537113847"
"15829","FAR1",",2411.28407107437,0.0685129791974301,0.164293066367185,0.417016863294205,0.67666607321799,0.829347950961901"
"15830","CPLANE1",",235.012489003367,-0.314243832084161,0.260856372693031,-1.20466227771232,0.228333704098355,0.458805776448837"
"15831","ZNF841",",349.157330423353,-0.0416683309907339,0.209527873253814,-0.198867722674102,0.842366218759215,0.924600692370937"
"15832","MFAP5",",254.118728403392,-1.09472689489025,0.512456216257174,-2.13623498000631,0.0326602655920926,0.157531595224041"
"15833","MYH6",",1.70233349731571,-0.754064899758599,0.908536182084265,-0.829977841970701,0.40655131167657,0.631784035027577"
"15834","ZNF615",",209.859457785914,-0.239798665579928,0.261194311014904,-0.918085331369431,0.358574193738412,0.590007610989447"
"15835","CXorf40A",",452.77784443494,0.274174587835592,0.15295577329727,1.79250891891954,0.0730514817923736,0.243421518636686"
"15836","CDC42SE1",",2828.03363437986,-0.19075348602844,0.11245550892767,-1.69625737189212,0.0898371495936015,0.272726594375915"
"15837","MPEG1",",786.782790555588,-0.949112248568924,0.344057635448976,-2.75858504732902,0.00580521971981387,0.0630437055874764"
"15838","SERPINB2",",30.9354160233742,-2.04239322234866,0.757724637737032,-2.69542934283928,0.00702979853491746,0.0696941046861538"
"15839","DPP4",",1449.28445844183,0.558817313041935,0.412983228340151,1.35312350404135,0.176016177995298,0.397196819573334"
"15840","SERPINB13",",1.0335770254616,-3.81783691911404,1.9278247030001,-1.98038593092654,0.0476601796246253,0.193436834839507"
"15841","PDCD1LG2",",65.6941540928227,-0.92261129611767,0.410597857885748,-2.24699490851799,0.0246403525036625,0.135779215328679"
"15842","ZNF433",",61.8951104889028,0.0674622747034355,0.2421712945333,0.27857254854852,0.780572882122625,0.891611864884452"
"15843","DNAH10",",64.6232998344366,-0.564523139922703,0.400453277172658,-1.40971037597304,0.158625219685885,0.375126340095155"
"15844","AL157838.1",",34.4803040129684,-0.029679763191016,0.266789507540737,-0.111247865272528,0.911419796168431,0.959043296390135"
"15845","SPTAN1",",13206.8709152788,-0.189785892152222,0.141386777553735,-1.34231712070878,0.179493194528782,0.401749744293156"
"15846","NMB",",252.385154411255,-0.542789354506944,0.21573558588918,-2.51599360518003,0.0118697336461578,0.0916810359886791"
"15847","PARVA",",2731.07526144602,-0.167486251677456,0.117075468449243,-1.43058365596093,0.152549574397031,0.366883423795051"
"15848","KLHL14",",13.7623836654859,-1.81326286613835,0.619793451962458,-2.92559216364257,0.0034380132263105,0.0469236340839274"
"15849","FAM114A1",",1587.0815331573,-0.576662550711293,0.20091157190619,-2.87023064545307,0.00410172489066616,0.0513930917216254"
"15850","RPE",",1490.53254347596,0.242186022328698,0.144355090584077,1.67771029998863,0.0934036677039815,0.278682926748689"
"15851","ZNF460",",43.4619890315074,-0.48405027129477,0.212234856000445,-2.2807293788432,0.0225644655768084,0.129476389417718"
"15852","CR1L",",2.49830401295018,-0.240169398198178,0.430254848063918,-0.558202654261548,0.576706008604055,0.763400418945132"
"15853","PHF2",",1652.92971732286,0.0763097676167082,0.128912446187566,0.591950349818653,0.553883836353322,0.747964552086547"
"15854","RPS26",",7970.79434286807,0.0928541823633027,0.213575827349424,0.434759792415024,0.663736792624083,0.821541446819543"
"15855","PTMAP2",",74.4545529474235,0.125181939342059,0.323697856226259,0.386724647489044,0.698960067150892,0.843422990632"
